tr_key,language_code,pluralization_index,text,namespace,built_in
Select the date and time when the incident occurred according to %{time_zone} time.,de,1,Wählen Sie den Zeitpunkt an dem sich der Vorfall ereignete hat in der Zeitezone %{time_zone}.,,false
What is a Purchase Order?,de,1,Was ist eine Bestellung?,,false
This is how %{topics} of %{tier} are displayed,de,1,So werden %{topics} von %{tier} dargestellt ,,false
Fixed reward for %{audience} partners,de,0,,,false
Recently active cases,de,0,,,false
Usage Guidelines,de,1,Richtlinien zur Verwendung,,false
"To change the email address associated with your Luleka account, you will have to provide your new email address and password.",de,0,,,false
A Purchase Order contains a list of items you have bought on Luleka.,de,1,"Eine Bestellung enthält eine Liste von Elementen, die Sie auf Luleka erworben haben.",,false
%{topic} described in,de,1,%{topic} beschrieben in,,false
Fixed reward (%{currency}),de,0,,,false
Recently Active at %{name},de,0,,,false
A few tips on how to post a good case:,de,1,"Ein paar Tipps, wie man gute Fälle einstellt:",,false
"To change the email address associated with your Luleka account, you will have to provide your new email address and password.",de,1,"Um die E-Mail Adresse, mit der Sie sich bei Luleka registriert haben, zu ändern, müssen Sie Ihre neue E-Mail Adresse und Ihr Passwort eintragen.",,false
What is a Sales Order?,de,1,Was ist ein Auftrag?,,false
Multiple regions,de,1,mehrere Regionen,,false
When does your offer end?,de,0,,,false
Redeem your voucher during the %{signup} process,de,0,,,false
Be specific and clear. It's difficult to provide a great response to a vaguely formulated case.,de,1,"Seien Sie spezifisch und klar. Es ist schwierig, eine Antwort auf eine sehr vage formulierte Frage zu geben.",,false
To accept the invitation you must complete the registration process.,de,0,,,false
"A Sales Order contains a list of items you have sold to a Luleka member, e.g. a reward you were given for solving a case.",de,1,"Ein Auftrag enthält eine Liste von Elementen, die Sie an ein Mitglied verkauft haben, z. B. eine Belohnung um einen Fall zu lösen.",,false
%{topic} available in,de,1,%{topic} verfügbar,,false
Select free if you don't want to offer any monetary reward for this case to be solved.,de,0,,,false
Redeem your voucher during the %{signup} process,de,1,Lösen Sie Ihren Gutschein während des %{signup}sprozesses ein,,false
Be courteous and thoughtful. Do not post your case that people may find insulting.,de,1,Seien Sie höflich und aufmerksam. Versuchen Sie mit Ihrem Anliegen niemanden zu beleidigen.,,false
%{object} was successfully published.,de,1,%{object} wurde erfolgreich veröffentlicht.,,false
"We give businesses and consumers access to an on-demand customer service, and a scalable professional services workforce.",de,1,,intro,false
To change your account settings you must sign in,de,0,,,false
"You can upload an image, and describe the %{topic} in more detail",de,1,Sie können ein Bild hochladen und das %{topic} detaillierter beschreiben.,,false
Fixed rewards are provided to all partners or the ones you trust most.,de,0,,,false
Remove,de,0,,,false
Offering a monetary reward can help you get a more accurate response. Consider what you are willing to pay for a well researched response.,de,1,"Eine monetäre Belohnung kann dabei helfen, eine bessere oder schnellere Antwort zu erhalten. Überlegen Sie sich, was Sie für eine gut recherchierte Antwort zu zahlen bereit sind.",,false
Are you sure you want to delete this tag?,de,1,"Sind Sie sicher, dass Sie diesen Tag löschen wollen?",,false
Businesses,de,1,,benefits,false
Total,de,0,,,false
This is a?,de,1,Das ist ein?,,false
in %{days} from now,de,0,,,false
a growing number of people,de,1,eine wachsende Anzahl von Leuten,,false
Add tags one at a time,de,1,Fügen Sie jeweils ein Stichwort ein,,false
Get real with your clients,de,1,,benefits,false
Total,de,1,Gesamt,,false
service,de,1,Service,,false
on %{date},de,0,,,false
shared this idea,de,1,diese Idee mitgeteilt,,false
%d comment,de,2,,,false
"Customers have great input, are you ready to listen? Embrace your clients and get engaged in the  conversation.",de,1,,benefits,false
Total %{total},de,0,,,false
The description of %{type} goes here,de,1,Die Beschreibung von %{type} kommt hier her ,,false
Flag?,de,1,Missbrauch?,,false
Remove this %{type},de,1,%{type} entfernen,,false
Increase Productivity,de,1,,benefits,false
appears to be invalid,de,0,,,false
Total %{total},de,1,Gesamt %{total},,false
"Assign meaningful tags for this %{type}, e.g. _gadget, music, portable_",de,1,"Geben Sie hier Stichwörter zum %{type} an, z.B._Musik, transportierbar_ ",,false
Can I cancel my Luleka Partner subscription?,de,0,,,false
This %{type} is useful and clear,de,1,%{type} ist klar und verständlich,,false
Do you want to remove this case?,de,1,Möchten Sie den Fall entfernen?,,false
Cut down on repetitive support costs and get everyone in your organization on the same page.,de,1,,benefits,false
problem,de,0,,,false
Please sign in,de,1,Bitte melden Sie sich an,,false
Pay and Continue,de,0,,,false
appears to be someone else,de,0,,,false
Current Email,de,0,,,false
"This is the Web Address (URL) of %{type}, e.g. _http://apple.com/ipod_",de,1,"Dies ist die Webadresse (URL) von %{type}, z.B. _http://apple.com/ipod_ ",,false
thousands of people,de,1,Tausenden von Leuten,,false
Can I cancel my Luleka Partner subscription?,de,1,Kann ich meine Luleka Partner-Registrierung kündigen?,,false
Click again to undo,de,1,Erneut klicken zum rückgängig machen,,false
%d visitor,de,1,,,false
Professional Service,de,1,,benefits,false
problem,de,1,Problem,,false
Subject,de,1,Betreff,,false
Payment,de,0,,,false
Current Email,de,1,Derzeitige E-Mail Adresse,,false
%{kases} powered by %{people},de,1,%{kases} unterstützt durch %{people},,false
Can I change the transfer currency?,de,0,,,false
This %{type} is unclear and not useful,de,1,%{type} ist unklar und nicht sinnvoll,,false
allows 250 characters maximum,de,1,,,false
"Engage your staff, build loyalty  and trust through the power of community.",de,1,,benefits,false
Which product or service is it about?,de,0,,,false
Time,de,1,Zeit,,false
Pay and Continue,de,1,Zahlen und Fortfahren,,false
Credit Card Type,de,0,,,false
Can I change the transfer currency?,de,1,Kann ich die Währung des Geldtransfer ändern?,,false
Sunday,de,0,,weekday,false
%d comment,de,1,kein Kommentar,,false
Logo,de,1,Logo,,false
Monitor,de,1,,benefits,false
"Hallo %{invitee_name}
ich würde Sie gerne in mein Luleka Netzwerk einladen.

-%{invitor_name}",de,0,,,false
Which product or service is it about?,de,1,Um welches Produkt oder Dienstleistung handelt es sich?,,false
appears to be empty,de,1,scheint leer zu sein,,false
Payment,de,1,Zahlung,,false
Credit Card Type,de,1,Kreditkartentyp,,false
"Welcome to Luleka, the independent service community with integrated marketplace for those seeking advice and advisors.",de,1,"Willkommen bei Luleka, der unabhängigen Service Community mit integriertem Marktplatz für Ratgebende und Ratsuchende.",,false
can not be updated twice,de,0,,,false
Sunday,de,1,Sonntag,weekday,false
Have same %{type}?,de,1,Ich auch!,,false
"Your community ""kann-ich-klagen.de"" has been registered",de,1,,,false
Gather ideas and feedback from your clients and monitor your brand.,de,1,,benefits,false
"Hallo %{invitee_name}
ich würde Sie gerne in mein Luleka Netzwerk einladen.

-%{invitor_name}",de,1,"Hallo %{invitee_name}
ich würde Sie gerne in mein Luleka Netzwerk einladen.

-%{invitor_name}",,false
%{product_name} added,de,0,,,false
appears to be invalid,de,1,scheint nicht korrekt zu sein,,false
Credit Card Number,de,0,,,false
Sign in here,de,1,Hier Einloggen,,false
can only be sent by Partners,de,0,,,false
Monday,de,0,,weekday,false
Add %{comment_type} to %{name}'s %{commentable},de,1,%{comment_type} zu %{name} %{commentable} hinzufügen ,,false
We will have to double check the details before making your community public. This may take 1-3 business days.,de,1,"Wir müssen die Angaben erst überprüfen, bevor wir die Details der Community freistellen. Dies dauert in der Regel zwischen 1-3 Werktage.",,false
Start,de,1,,benefits,false
%{product_name} added,de,1," 	
%{product_name} hinzugefügt",,false
must be between %{from} and %{to} characters,de,1,muss mindestens %{from} und höchstens %{to} Zeichen haben,,false
Credit Card Number,de,1,Kreditkartennummer,,false
Privacy,de,1,Privatsphäre,,false
can't be blank,de,0,,,false
Monday,de,1,Montag,weekday,false
Post Comment,de,1,Kommentar Anfügen,,false
pending,de,1,unerledigt,,false
for free or %{link},de,1,,benefits,false
is empty,de,1,ist leer,,false
Date,de,0,,,false
cannot be given to existing or previous Partners,de,0,,,false
Tuesday,de,0,,weekday,false
No Responses,de,1,Keine Antworten,,false
Image and Logo,de,1,Bild und Logo,,false
learn more,de,1,,benefits,false
is used already,de,1,wird schon verwendet,,false
Date,de,1,Datum,,false
Cannot invite yourself,de,0,,,false
Tuesday,de,1,Dienstag,weekday,false
How does it make you feel?,de,1,Wie fühlt sich das an?,,false
Site URL,de,1,URL der Seite,,false
Consumers,de,1,,benefits,false
already redeemed,de,1,bereits eingelöst,,false
You can invite any of your friends if you know their email address.,de,0,,,false
cannot respond to own case,de,0,,,false
Wednesday,de,0,,weekday,false
Post Reply,de,1,Antwort Anfügen,,false
Get satisfaction through people who care,de,1,,benefits,false
already expired,de,1,bereits abgelaufen,,false
You can invite any of your friends if you know their email address.,de,1,Sie können jeden Ihrer Freunde einladen wenn Sie ihre E-Mail Adressen kennen.,,false
Case Context,de,0,,,false
Wednesday,de,1,Mittwoch,weekday,false
"Work for ""%{name}""?",de,1,"Arbeitet für ""%{name}""?",,false
MSN,de,1,,,false
Ask other customers and employees who care about you instead of dealing with anonymous call center agents.,de,1,,benefits,false
appears to be someone else,de,1,scheint eine andere Person zu sein,,false
Your email address was changed successfully.,de,0,,,false
Case Context,de,1,Inhalt des Falls,,false
Thursday,de,0,,weekday,false
Email to a friend,de,1,E-Mail an einen Freund,,false
ICQ,de,1,,,false
Feedback,de,1,,benefits,false
Why?,de,0,,,false
is invalid,de,1,ist ungültig,,false
Your email address was changed successfully.,de,1,Ihre E-Mail Adresse wurde erfolgreich geändert.,,false
Charge your Piggy Bank account by purchasing new credit.,de,0,,,false
Thursday,de,1,Donnerstag,weekday,false
Twitter this,de,1,Twittere das,,false
AIM,de,1,,,false
"Ask questions, report problems, share ideas or just give feedback about anything.",de,1,,benefits,false
Why?,de,1,Warum?,,false
is not available,de,1,ist nicht erhältlich,,false
Your Expertise?,de,0,,,false
Charge your Piggy Bank account by purchasing new credit.,de,1,Laden Sie Ihr Piggy Bank Konto auf indem Sie Geld hinzufügen.,,false
Friday,de,0,,weekday,false
Share on Facebook,de,1,Teilen auf Facebook,,false
Let People Find You,de,1,,benefits,false
Your work phone at %{name},de,0,,,false
What?,de,0,,,false
Your Expertise?,de,1,Ihre Fachkenntnisse?,,false
comment,de,0,,,false
Friday,de,1,Freitag,weekday,false
Your username may be displayed instead of your actual name. Make sure to pick a username that does not compromise your privacy.,de,1,"Nur wenn Sie sich dafür entscheiden, dass Ihr Benutzername öffentlich ist, ist dieser sichtbar. Andernfalls ist er für andere nicht erkennbar. Stellen Sie sicher, dass Ihr Benutzername nicht Ihre Privatsphäre verletzt.",,false
Meet the most qualified people in the field that care about you.,de,1,,benefits,false
Your work phone at %{name},de,1,Ihre geschäftliche Telefonnummer bei %{name},,false
What?,de,1,Was?,,false
must be selected,de,1,muss ausgewählt werden,,false
Your Image,de,0,,,false
"Comment posted on %{type} for ""%{title}""",de,0,,,false
Saturday,de,0,,weekday,false
Follow this %{type},de,1,%{type} verfolgen,,false
Subscribe,de,1,,,false
Reward,de,1,,benefits,false
I am an employee or owner of this %{type},de,0,,,false
How does it work?,de,0,,,false
To accept the invitation you must complete the registration process.,de,1,Um die Einladung zu akzeptieren müssen Sie erst die Registrierung erfolgreich abschliessen.,,false
Fill in your username and email you have chosen when signing up. Hit resend and we will email you a new activation code.,de,0,,,false
"Comment posted on %{type} for ""%{title}""",de,1,"Kommentar bei %{type} zu ""%{title}"" veröffentlicht ",,false
Saturday,de,1,Samstag,weekday,false
Follow,de,1,Follow,,false
Existing Problems in the Community,de,1,,,false
"You decide if you want to fund your account, offer rewards, and get faster, more accurate responses.",de,1,,benefits,false
I am an employee or owner of this %{type},de,1,Ich bin Angestellter oder Besitzer von dieser %{type},,false
How does it work?,de,1,Wie funktioniert´s?,,false
Add credit?,de,1,Guthaben hinzufügen?,,false
"Type your current password, a desired new password and confirm your changes.",de,0,,,false
"Comment received on %{type} for ""%{title}""",de,0,,,false
Sun,de,0,,abbreviated weekday,false
%{votes} on this %{type},de,1,%{votes} für %{type},,false
"%{people} have reported %{kases}, made %{responses}, and earned %{reputation}",de,1,,,false
idea,de,0,,,false
How?,de,0,,,false
partners,de,0,,,false
SSN,de,1,Sozialversicherungsnummer,,false
Share,de,1,Teilen,,false
"Type your current password, a desired new password and confirm your changes.",de,1,"Geben Sie Ihr derzeitiges Passwort ein, das neue gewünschte und bestätigen Sie Ihre Änderungen.",,false
"Comment received on %{type} for ""%{title}""",de,1,"Kommentar bei %{type} zu ""%{title}"" erhalten ",,false
Sun,de,1,So,abbreviated weekday,false
%{replies} made,de,1,%{replies} durchgeführt,,false
%{count} people,de,1,,,false
idea,de,1,Idee,,false
How?,de,1,Wie?,,false
Recently Active,de,0,,,false
Social Security Number,de,1,Sozialversicherungsnummer,,false
Edit,de,1,Editieren,,false
Twitter name,de,0,,,false
Confirm the new URL,de,0,,,false
Mon,de,0,,abbreviated weekday,false
%{people} participating,de,1,%{people} nehmen teil,,false
%{count} cases,de,1,,,false
"Luleka is the central hub for discussions around products, services, groups and organizations.",de,0,,,false
Start your case,de,0,,,false
about %d hours,de,2,etwa %d Stunden,,false
Twitter name,de,1,Twitter Name,,false
Consignee,de,0,,,false
Mon,de,1,Mo,abbreviated weekday,false
%{employees} helping,de,1,%{employees} helfen,,false
%{count} replies,de,1,,,false
Terms of Service,de,0,,,false
"Luleka is the central hub for discussions around products, services, groups and organizations.",de,1,"Luleka ist der zentrale Ort für Diskussionen rund um Produkte, Dienstleistungen, Gruppen und Unternehmen.",,false
Case,de,0,,,false
Employer Identification Number,de,1,Mitarbeiter Identifikations Nummer,,false
Basic Information,de,1,Grundinformationen,,false
try loading this page again,de,0,,,false
Contacts of %{name},de,0,,,false
Tue,de,0,,abbreviated weekday,false
%{followers} watching,de,1,%{followers} sehen zu,,false
%{count} in reputation,de,1,,,false
Terms of Service,de,1,AGB,,false
Post your case &mdash; Reach a satisfying solution &mdash; Earn money.,de,0,,,false
Register,de,0,,,false
Have Expertise,de,1,Meine Kompetenzen,,false
", ",de,1,,,false
Try to describe your case as concise as necessary and elaborate as possible.,de,0,,,false
Contacts of %{name},de,1,Kontakte von %{name}  ,,false
Tue,de,1,Di,abbreviated weekday,false
%d follower,de,2,%d follower,,false
Who Cares?,de,1,,,false
Terms and Conditions,de,0,,,false
Post your case &mdash; Reach a satisfying solution &mdash; Earn money.,de,1,Ihr Fall &mdash; Zufriedenstellende Lösungen &mdash; Geld verdienen.,,false
Complete,de,0,,,false
Individual Tax Identification Number,de,1,Individuelle Steueridentifikationsnummer,,false
Want Expertise,de,1,Suche Fachkenntnisse zu,,false
", and ",de,1,,,false
Try to describe your case as concise as necessary and elaborate as possible.,de,1,Versuchen Sie Ihren Fall so präzise und einfach wie möglich zu beschreiben.,,false
Mr,de,1,,,false
Could not Geocode address,de,0,,,false
Wed,de,0,,abbreviated weekday,false
%{visitors} seen,de,1,%{visitors} gesehen,,false
People most engaged in the network,de,1,,,false
Terms and Conditions,de,1,AGB,,false
Why use Luleka?,de,0,,,false
Complete,de,1,Fertig,,false
Euro,de,1,Euro,,false
Spoken Languages,de,1,Meine Sprachen,,false
International Settings,de,0,,,false
Middle Name,de,0,,,false
"Currently, you can use %{paypal} to transfer funds from your Piggy Bank to your real bank.",de,0,,,false
Wed,de,1,Mi,abbreviated weekday,false
Who Dares?,de,1,,,false
Data Protection & Privacy Policy,de,0,,,false
Why use Luleka?,de,1,Warum Luleka?,,false
Post,de,0,,,false
Dollar,de,1,Dollar,,false
Interests,de,1,Interessen,,false
International Settings,de,1,Internationale Einstellungen,,false
Membership,de,0,,,false
